;УТП продукта (заголовок);Описание
10;Каркас из LVL бруса ;"В сравнении с сосновым брусом или массивом его прочность выше в 1,5-2 раза, устойчив к перепадам температур и воздействию влаги. Сохраняет правильную геометрию полотна на всем сроке эксплуатации изделия.
Из него даже строят дома, а это говорит о долговечности данного типа бруса."
20;Заполнение полотна сотопаком;"Облегчает вес полотна до 25 – 30 кг, что положительно влияет на срок эксплуатации петель. В сравнении с обычным сотовым заполнением сотопак имеет закрытую конструкцию с ребрами жесткости, что делает его более плотным и устойчивым к деформации. 
Наше преимущество перед конкурентами - используем в производстве дверей только сотопак, а не гофрокартон/ячеистый картон, так как последний материал - более рыхлый."
30;"Технология ""шпилька""";Из-за особой новой технологии не проседает торец двери
40;Двери размером в высоту до 3000 мм;Любые нестандартные размеры под Ваш интерьер
50;Отделка полотна MDF с двух сторон толщиной от 6 мм. до 25 мм;Отделка до 25 мм в сравнении с часто используемым MDF 3-4 мм обеспечивает полотну необходимую защиту от ударов и вмятин.
60;Стартовое покрытие полотна - изолянт;Предотвращает впитывание влаги и поднятие ворса, что обеспечивает полотну повышенную влагостойкость и гладкое (без шероховатостей) покрытие.
70;Многослойное ЛКМ покрытие;"Благодаря нанесению грунта в два слоя, изолянта в 2 слоя и пятислойному нанесению эмали исключено волнообразное наложение эмали, а также образование шагрени, не прокрас фрезеровок и стыков. В итоге получаются двери с идеальным внешним видом, гладким покрытием, насыщенным цветом, приятными на ощупь. 
Всего 9 слоев наненсения на дверь. 
При этом покрытие не токсичное. Есть сертификат на антиаллергическую/антибактерицидную пропитку."
80;Применение лака высочайшего качества произведенного по итальянской технологии;Защищает от воздействия УФ-лучей, что позволяет двери оставаться в первозданном цвете на протяжении всего срока эксплуатации, даже под палящим солнечным светом.
90;Инновационный короб для скрытого монтажа;"Изготовлен из анодированного алюминия, благодаря замкнутому контуру устойчив к воздействию влаги, что обеспечивает идеальную геометрию проема при проведение отделочных работ, а соответственно и защиту от растрескиваний в местах крепления короба.
Отличие от конкурентов - такой короб используют многие на рынке, но некоторые компании не вкладывают брус во внутрь и контур при этом закрыт."
100;Итальянский стандарт толщины полотна - 45 мм;"Полотна изготавливаются по технологии, которую мы переняли у лучших европейских производителей дверей. По стандарту клиенту не нужно доплачивать за этот размер.
Также фабрика способна изготовить нестандартные решения - полотно в толщину 57 мм (и скрытое с алюминиевой кромкой)."
110;Применение устройства вертикальной стабилизации для высоких полотен;Технология позволяет сохранить геометрию полотна, избавляет от проблем с плотностью закрытия (прилеганием полотна к коробу), а это дает высокий уровень шумоизоляции и комфорт в использовании.
120;Сантехнический сапожок из особо прочного материала;Выполняет не только декоративную функцию, но и защищает наличник от воды. Мы изготавливаем сапожки из особо прочного материала, который не боится влаги, поэтому можно смело устанавливать двери в ванную комнату, дополнив комплект дверными сапожками из композитного материала.
130;Выкидной автопорог;"За счет выкидного автопорога, инженерного массива внутри двери (не цельный) повышается уровень шумоизоляции. Подходит преимущественно для спальни/детской и постирочной.
"
140;Антивандальность;Прочность самой эмали и полиэфирного грунта обеспечивают антивандальный эффект.
150;Покрытие маслом шпона;Используем бельгийские натуральные масла - экологически чистый продукт. Позволяет клиенту точечно реставрировать изделия самому. Есть сертификат качества. 
160;Аккуратный монтаж;"Максимальная подготовка к монтажу уже на производстве - полностью готовый продукт к установке гарантирует ""чистый"" монтаж"
170;3Д фрезеровка;Уникальная услуга фабрики, мы способны вовплотить в реальность любые задумки клиента. Для этого у нас есть сплоченная команда профессионалов и необходимое оборудование, способное в том числе высекать любые узоры на дереве.
180;Эксклюзивный дизайн дверей ;Ваша дверь может быть особенной и не встретится больше ни в одном доме, кроме Вашего.
190;Флисовая прослойка для увеличения срока службы шпонированных дверей;"- экологически-чистый материал
- обладает высокой прочностью и гибкостью
- долгий срок службы
- быстрые сроки изготовления"
